"Date","Price (Close)"
"2019-07-28","9541.92483821227"
"2019-07-27","9469.244076324361"
"2019-07-26","9836.985408883498"
"2019-07-25","9880.936477807076"
"2019-07-24","9768.592815758559"
"2019-07-23","9860.0621140907"
"2019-07-22","10325.983445203208"
"2019-07-21","10591.37540112928"
"2019-07-20","10753.45890356718"
"2019-07-19","10523.869298873158"
"2019-07-18","10651.162832582693"
"2019-07-17","9697.541338072338"
"2019-07-16","9429.11442726051"
"2019-07-15","10844.48401081513"
"2019-07-14","10187.458398161676"
"2019-07-13","11372.817851419753"
"2019-07-12","11798.019011977689"
"2019-07-11","11348.960247958306"
"2019-07-10","12095.197825004681"
"2019-07-09","12567.11839671918"
"2019-07-08","12289.117449075147"
"2019-07-07","11467.953266826711"
"2019-07-06","11252.777355213417"
"2019-07-05","10985.758795850017"
"2019-07-04","11141.03182668077"
"2019-07-03","11977.924189133235"
"2019-07-02","10840.512264101986"
"2019-07-01","10592.687634834663"
"2019-06-30","10748.549951227598"
"2019-06-29","11860.107972254595"
"2019-06-28","12360.577867500371"
"2019-06-27","11125.063914440616"
"2019-06-26","12882.633092753702"
"2019-06-25","11769.82165671362"
"2019-06-24","11026.752850481495"
"2019-06-23","10850.404563228445"
"2019-06-22","10672.140222472355"
"2019-06-21","10210.096357748525"
"2019-06-20","9541.683178262047"
"2019-06-19","9278.815753382634"
"2019-06-18","9105.61279967167"
"2019-06-17","9339.767258225065"
"2019-06-16","8971.493739969545"
"2019-06-15","8851.215777865842"
"2019-06-14","8700.254023138774"
"2019-06-13","8235.806271483982"
"2019-06-12","8160.066484396309"
"2019-06-11","7912.84167706966"
"2019-06-10","8012.639056483709"
"2019-06-09","7641.542670762786"
"2019-06-08","7930.982212975553"
"2019-06-07","8000.509848875415"
"2019-06-06","7805.398098149559"
"2019-06-05","7787.896473953979"
"2019-06-04","7674.63761276146"
"2019-06-03","8109.134824663058"
"2019-06-02","8730.740044168078"
"2019-06-01","8546.30399392179"
"2019-05-31","8566.133028818755"
"2019-05-30","8275.038464256106"
"2019-05-29","8661.767791796732"
"2019-05-28","8737.853237579584"
"2019-05-27","8775.729971029117"
"2019-05-26","8707.57514420282"
"2019-05-25","8062.518364368463"
"2019-05-24","7995.254267616597"
"2019-05-23","7877.066225001757"
"2019-05-22","7637.511570956528"
"2019-05-21","7941.1704581079985"
"2019-05-20","7990.515634864794"
"2019-05-19","8197.574562751091"
"2019-05-18","7271.5379314297925"
"2019-05-17","7369.133818751109"
"2019-05-16","7870.585927823421"
"2019-05-15","8199.046048519536"
"2019-05-14","7979.211189138515"
"2019-05-13","7814.926333231225"
"2019-05-12","6976.441431269875"
"2019-05-11","7192.812254009602"
"2019-05-10","6345.576987522648"
"2019-05-09","6161.624956387507"
"2019-05-08","5952.117011929394"
"2019-05-07","5781.330506019363"
"2019-05-06","5711.840736213436"
"2019-05-05","5739.136897312882"
